Frecuencia (Hz)	Nivel (dB)
24937,500000	-119,102570
25031,250000	-119,273834
25125,000000	-118,274605
25218,750000	-118,585793
25312,500000	-118,353111
25406,250000	-118,280685
25500,000000	-118,176277
25593,750000	-118,170380
25687,500000	-118,098427
25781,250000	-119,043579
25875,000000	-118,601799
25968,750000	-118,702438
26062,500000	-119,059334
26156,250000	-118,651115
26250,000000	-119,078346
26343,750000	-118,915215
26437,500000	-119,184471
26531,250000	-118,924767
26625,000000	-118,949585
26718,750000	-118,475426
26812,500000	-118,658951
26906,250000	-118,426384
27000,000000	-119,065498
27093,750000	-118,274551
27187,500000	-118,673416
27281,250000	-118,956642
27375,000000	-118,902954
27468,750000	-118,676140
27562,500000	-119,090561
27656,250000	-119,172913
27750,000000	-118,594727
27843,750000	-118,762779
27937,500000	-117,935631
28031,250000	-118,311310
28125,000000	-118,462776
28218,750000	-118,535828
28312,500000	-118,770561
28406,250000	-118,897446
28500,000000	-119,036308
28593,750000	-118,707138
28687,500000	-118,074944
28781,250000	-118,097229
28875,000000	-118,172798
28968,750000	-118,550346
29062,500000	-118,398453
29156,250000	-117,943459
29250,000000	-118,157166
29343,750000	-119,131477
29437,500000	-119,293076
29531,250000	-118,050217
29625,000000	-117,770836
29718,750000	-118,096428
29812,500000	-118,909721
29906,250000	-118,547363
30000,000000	-118,948593
30093,750000	-118,975952
30187,500000	-118,917328
30281,250000	-118,597275
30375,000000	-118,779388
30468,750000	-119,129738
30562,500000	-118,894272
30656,250000	-118,329880
30750,000000	-118,721336
30843,750000	-118,636330
30937,500000	-118,216454
31031,250000	-118,305931
31125,000000	-118,128433
31218,750000	-118,761261
31312,500000	-118,398041
31406,250000	-118,314148
31500,000000	-117,891060
31593,750000	-118,231621
31687,500000	-118,578545
31781,250000	-118,786995
31875,000000	-118,849411
31968,750000	-119,119492
32062,500000	-118,386856
32156,250000	-118,811119
32250,000000	-118,691734
32343,750000	-118,848305
32437,500000	-118,605774
32531,250000	-118,703056
32625,000000	-118,659981
32718,750000	-118,383224
32812,500000	-118,680367
32906,250000	-118,491974
33000,000000	-118,961807
33093,750000	-118,942368
33187,500000	-118,161537
33281,250000	-118,190834
33375,000000	-118,205421
33468,750000	-118,497841
33562,500000	-118,796120
33656,250000	-118,566101
33750,000000	-118,706810
33843,750000	-118,914627
33937,500000	-118,437416
34031,250000	-118,403923
34125,000000	-118,556458
34218,750000	-118,610878
34312,500000	-118,662628
34406,250000	-118,743279
34500,000000	-118,954460
34593,750000	-118,472832
34687,500000	-118,276489
34781,250000	-118,794922
34875,000000	-118,345680
34968,750000	-118,948181
35062,500000	-118,882484
35156,250000	-118,476669
35250,000000	-118,206963
35343,750000	-118,346298
35437,500000	-118,666855
35531,250000	-118,759193
35625,000000	-119,305878
35718,750000	-118,243378
35812,500000	-118,124985
35906,250000	-118,664986
36000,000000	-118,400925
36093,750000	-118,222931
36187,500000	-119,129913
36281,250000	-118,368248
36375,000000	-118,617737
36468,750000	-118,582748
36562,500000	-118,993835
36656,250000	-118,330650
36750,000000	-119,045639
36843,750000	-118,469566
36937,500000	-117,848618
37031,250000	-118,877914
37125,000000	-118,688904
37218,750000	-118,493965
37312,500000	-118,285202
37406,250000	-118,274818
37500,000000	-118,473747
37593,750000	-119,305016
37687,500000	-118,936394
37781,250000	-118,337013
37875,000000	-119,049446
37968,750000	-118,532944
38062,500000	-119,376633
38156,250000	-119,082626
38250,000000	-118,905182
38343,750000	-118,326614
38437,500000	-118,419151
38531,250000	-118,721527
38625,000000	-118,501686
38718,750000	-118,763023
38812,500000	-118,822380
38906,250000	-119,105515
39000,000000	-118,435242
39093,750000	-118,402481
39187,500000	-118,570274
39281,250000	-118,137833
39375,000000	-118,892723
39468,750000	-118,919052
39562,500000	-118,486198
39656,250000	-119,248169
39750,000000	-118,934860
39843,750000	-118,916962
39937,500000	-118,394089
40031,250000	-118,238831
40125,000000	-118,524727
40218,750000	-118,192276
40312,500000	-118,267715
40406,250000	-118,629837
40500,000000	-118,709389
40593,750000	-118,699318
40687,500000	-118,276573
40781,250000	-118,587112
40875,000000	-118,398499
40968,750000	-119,130676
41062,500000	-118,417625
41156,250000	-118,466560
41250,000000	-119,113037
41343,750000	-118,790253
41437,500000	-118,592255
41531,250000	-118,167816
41625,000000	-118,050743
41718,750000	-118,640289
41812,500000	-118,322311
41906,250000	-118,479225
42000,000000	-118,259621
42093,750000	-118,847733
42187,500000	-118,544449
42281,250000	-118,828568
42375,000000	-118,717346
42468,750000	-118,524437
42562,500000	-118,605095
42656,250000	-118,698143
42750,000000	-118,890121
42843,750000	-119,439575
42937,500000	-118,692543
43031,250000	-118,611710
43125,000000	-118,263023
43218,750000	-118,182587
43312,500000	-118,492294
43406,250000	-118,183327
43500,000000	-118,096703
43593,750000	-117,784012
43687,500000	-118,589752
43781,250000	-119,226372
43875,000000	-118,599922
43968,750000	-118,991852
44062,500000	-118,831589
44156,250000	-118,983589
44250,000000	-119,187172
44343,750000	-118,558319
44437,500000	-118,781174
44531,250000	-118,389793
44625,000000	-118,635559
44718,750000	-118,759727
44812,500000	-118,732109
44906,250000	-118,479446
45000,000000	-119,270363
45093,750000	-119,117592
45187,500000	-118,184776
45281,250000	-118,269714
45375,000000	-118,855469
45468,750000	-118,332932
45562,500000	-118,759491
45656,250000	-118,869904
45750,000000	-118,749680
45843,750000	-119,223999
45937,500000	-119,128494
46031,250000	-118,692566
46125,000000	-118,268944
46218,750000	-118,828476
46312,500000	-117,820763
46406,250000	-117,971527
46500,000000	-118,174110
46593,750000	-118,349289
46687,500000	-118,248482
46781,250000	-118,883522
46875,000000	-118,730659
46968,750000	-118,659767
47062,500000	-119,605171
47156,250000	-118,957314
47250,000000	-118,793877
47343,750000	-118,829895
47437,500000	-119,010643
47531,250000	-118,579704
47625,000000	-118,456871
47718,750000	-118,181625
47812,500000	-118,541367
47906,250000	-118,745056
